catalogue id	input name	verdict	COHO ID	label	acronym synonyms	other synonyms	type	same as	clashes with	example study	example PMID	example title	example quote	example quote URL	definition	definition source	drafted by	countries	location quote	location URL	parent	parent relation	parent quote	parent URL	note
Iganga Mayuge HDSS, Makerere University Centre for Health and Population Research (MUCHAP)	Iganga Mayuge HDSS, Makerere University Centre for Health and Population Research (MUCHAP)	mint cohort	COHO:0002680	Iganga-Mayuge Health and Demographic Surveillance Site	IMHDSS|IM-HDSS|Iganga-Mayuge HDSS|Iganga Mayuge HDSS	Iganga Mayuge HDSS, Makerere University Centre for Health and Population Research (MUCHAP)|Iganga-Mayuge Health and Demographic Surveillance Sites|Iganga-Mayuge health and demographic surveillance site|IMHDSS, Uganda	cohort				PMID:40018598		The study was conducted within the population cohort of Iganga-Mayuge Health and Demographic Surveillance Sites (IMHDSS) located in eastern Uganda.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11816860/fullTextXML	A health and demographic surveillance system following the largely rural population of villages in the Iganga and Mayuge districts of eastern Uganda, established in the mid-2000s by Makerere University with the two districts and Karolinska Institutet and run by the Makerere University Centre for Health and Population Research, which records pregnancies, births, deaths and other events in census rounds and links household data with health facility records, as a platform for population health research and research training.	PMID:28799450|PMID:35427403|PMID:40018598	Claude Opus 5.5 (Anthropic), 2026-09	Uganda	IM-HDSS is in Eastern Uganda and covers the districts of Iganga and Mayuge managed by the Makerere University Centre for health and population research (MUCHAP).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9012358/fullTextXML					IHCC Cohort Atlas entry "Iganga Mayuge HDSS, Makerere University Centre for Health and Population Research (MUCHAP)" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. A health and demographic surveillance site (the atlas name joins it with the institution that runs it, MUCHAP), typed as a cohort like the Agincourt HDSS (COHO:0000912). Not in COHO. The sources disagree on its founding year (2004 in PMID:28799450, 2005 in PMID:35427403 and the atlas's enrolment period), so the definition says mid-2000s; the cohort profile (PMID:32556335, requested) should settle it. The label follows the cohort profile's title; the acronym forms IMHDSS and IM-HDSS are both used in papers, and 'IMHDSS, Uganda' is the profile title's form. The atlas's website muchap.org now redirects to an unrelated site. Texts read directly from Europe PMC (the request watcher is stopped). Could not read: PMID:32556335 (Cohort Profile: The Iganga-Mayuge Health and Demographic Surveillance Site, Uganda (IMHDSS, Uganda); Int J Epidemiol 2020, not open access; requested).
US NIH	US NIH	unresolved		Environmental influences on Child Health Outcomes Cohort	ECHO|EWC|US NIH	ECHO Cohort|ECHO Cohort Study|ECHO-Wide Cohort|ECHO-Wide Cohort Study|Environmental Influences on Child Health Outcomes (ECHO)-Wide Cohort|Environmental Influences on Child Health Outcomes Cohort|ECHO Cohort Consortium	cohort aggregation				PMID:40522663		This cohort study evaluates the association between prenatal exposure to public water arsenic below federal regulatory standards and birth outcomes in the Environmental Influences on Child Health Outcomes (ECHO) Cohort.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12171937/fullTextXML	A national consortium of existing United States pediatric longitudinal cohorts, brought together from 2016 by the National Institutes of Health's Environmental influences on Child Health Outcomes (ECHO) Program, that harmonises their existing data and collects new data and biospecimens from children and their caregivers under a common protocol, extended from 2023 with new pregnancy recruitment, to study how early-life environmental exposures affect pre-, peri- and postnatal outcomes, airways, obesity, neurodevelopment and positive health.	PMID:36963379|PMID:39724080	Claude Opus 5.5 (Anthropic), 2026-09	United_States	To address these opportunities, the National Institutes of Health (NIH) Environmental influences on Child Health Outcomes (ECHO) Program brought together existing pediatric longitudinal observational cohorts comprising more than 200 sites in the US, including Puerto Rico, to form the national ECHO Cohort [41, 42].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11670998/fullTextXML					IHCC Cohort Atlas entry "US NIH" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry names only an agency ('US NIH'), with no website or description. Its lead investigator is the named author of the ECHO-Wide Cohort's dataset, which is cited in PMID:36963379 as 'Gillman M. Environmental Influences on Child Health Outcomes (ECHO)-Wide Cohort (Version 1) [dataset]. NICHD Data and Specimen Hub.', so the entry is taken to be the NIH's ECHO Cohort; the atlas's figures (about 105,000 enrolled, target 135,000) are of the same order as ECHO's children plus caregivers but do not match any figure read here. The identification rests on that link alone, so the curator may prefer 'unresolved'. ECHO is an aggregation: 69 existing cohorts in 31 consortia whose data are harmonised and who collect new data under a common protocol (from 2023, 'Cycle 2', it also recruits new pregnancies at Cohort Study Sites); if COHO prefers to treat the common-protocol ECHO Cohort as one cohort, the record works unchanged with type cohort. Not in COHO. 'US NIH' is kept among the acronyms because it is the atlas's name for the entry, although it names the agency, not the cohort; the curator may prefer to drop it. No members are given because the member list (Web Table 1) was not read. Could not read: Web Table 1 of PMID:36963379 (the list of the 69 ECHO cohorts, on the publisher's site), to fill members; Project Viva (COHO:0001254) is one, but no text read here states it. Not minted on 2026-09-25: the identification as the ECHO Cohort rests on the lead investigator alone, and the ECHO Cohort has its own entry; the record above is kept.
HUNT 70+, The HUNT Study	HUNT 70+, The HUNT Study	mint cohort	COHO:0002681	HUNT4 70+	HUNT 70+	HUNT 70+, The HUNT Study|HUNT4 70+ study|HUNT 70+ study	cohort				PMID:40879407		In HUNT4 70+, all inhabitants aged 70+ were invited (N = 19,403), with 9956 (51.3%) participating (Figure 1).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12678644/fullTextXML	A sub-study of the fourth wave (HUNT4, 2017–2019) of the Trøndelag Health Study in which all inhabitants aged 70 years and older in the northern Trøndelag region of Norway were invited to detailed assessments of cognition and health, used to study the prevalence and incidence of dementia and mild cognitive impairment.	PMID:40879407	Claude Opus 5.5 (Anthropic), 2026-09	Norway	A longitudinal cohort design was used, with baseline assessment in the Norwegian HUNT4 70+ study (2017–19) and at follow-up four years later (2021–23).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12678644/fullTextXML	COHO:0000395	isSubCohortOf	The fourth wave of the study, referred to as HUNT4, was conducted from 2017 to 2019. Within this wave, a sub-study, HUNT4 70+, focused on individuals aged 70 and older.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12678644/fullTextXML	IHCC Cohort Atlas entry "HUNT 70+, The HUNT Study" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas names the entry "HUNT 70+, The HUNT Study" but its other fields (website ntnu.edu/hunt, enrolment from 1984, 240000 participants) describe the whole Trøndelag Health Study (COHO:0000395). HUNT4 70+ is a named sub-study of HUNT4 (inhabitants aged 70+, 2017–19, followed up as the Ageing in Trøndelag study 2021–23), not in COHO, so I give it as a new cohort isSubCohortOf HUNT. If the curator reads the atlas entry as HUNT itself (the numbers support that), it is instead existing COHO:0000395 and would only add the synonym "HUNT 70+, The HUNT Study". Could not read: PMID:41709676 (Cohort Profile Update: HUNT4 70+, not open access; requested in needed_urls.txt, not read).
EpiHealth	EpiHealth	existing	COHO:0001697			Epidemiology for Health cohort|EpiHealth cohort study																			IHCC Cohort Atlas entry "EpiHealth" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. COHO already has EpiHealth as the uncurated placeholder COHO:0001697 (label "Epidemiology for Health", acronym EpiHealth). The atlas entry is the same cohort (Sweden, lead Lars Lind, enrolment 2011–2018, 25000; papers give 25,080 participants aged 45–75). Type cohort. I give a definition, country, example and two name variants the papers use so the placeholder can be curated; the label "Epidemiology for Health" is used by the papers ("The Epidemiology for Health cohort (EpiHealth"), so it can stay. Could not read: PMID:23435790 (EpiHealth design paper, Lind et al. 2013, not open access; requested in needed_urls.txt, not read).
Coronagenes/University of Edinburgh	Coronagenes/University of Edinburgh	mint cohort	COHO:0002682	Coronagenes		Coronagenes/University of Edinburgh|Coronagenes study	cohort				PMID:35922517		Coronagenes Cases and Controls 58.42 years West Midlands Research Ethics Commitee Individuals uploaded raw genotype information from direct-to-consumer DNA genotyping companies, including 23andMe, Ancestry, MyHeritage, and FTDNA.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9352569/supplementaryFiles	A cohort of volunteers recruited online from 2020 by the MRC Human Genetics Unit at the University of Edinburgh who shared genotype data from direct-to-consumer genetic testing services and completed questionnaires on their health, lifestyle and COVID-19 symptoms, to identify genes that influence the risk and severity of COVID-19.	http://web.archive.org/web/20241104022517/https://www.ed.ac.uk/coronagenes/about/coronagenes-study|https://institute-genetics-cancer.ed.ac.uk/news-and-events/news-2020/home-dna-test-data-wanted-boost-coronavirus-fight	Claude Opus 5.5 (Anthropic), 2026-09				COHO:0000238	memberOf	Coronagenes Cases and Controls 58.42 years West Midlands Research Ethics Commitee Individuals uploaded raw genotype information from direct-to-consumer DNA genotyping companies, including 23andMe, Ancestry, MyHeritage, and FTDNA.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9352569/supplementaryFiles	IHCC Cohort Atlas entry "Coronagenes/University of Edinburgh" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. Coronagenes is the University of Edinburgh (MRC Human Genetics Unit) COVID-19 host-genetics study that enrolled volunteers who uploaded direct-to-consumer genotype data (23andMe, Ancestry, MyHeritage, FTDNA) and answered questionnaires; a defined set of participants, so a cohort; not in COHO. The study website now 404s; the Wayback copy was read. Countries: none given, because recruitment was international (the University news item says "we need the solidarity of a large proportion of people from different countries who can share their DNA testing results with us") and no source I read says where participants live; the atlas lists United Kingdom, which is where the study is run (ethics by the West Midlands Research Ethics Committee), so the curator could add United_Kingdom from the atlas if that is acceptable. Parent: Coronagenes contributed cases and controls to the COVID-19 Host Genetics Initiative (COHO:0000238) meta-analysis; the quote is its row of the HGI supplementary study table, so the link would be COHO:0000238 hasCohort Coronagenes. The example uses the same row, which is the only text I found that names Coronagenes in a paper.
BioVU Vanderbilt	BioVU Vanderbilt	existing	COHO:0000417			BioVU Vanderbilt																			IHCC Cohort Atlas entry "BioVU Vanderbilt" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry (Vanderbilt, USA, website victr.vumc.org/biovu-description, lead Dan Roden, enrolment from 2007) is Vanderbilt University Medical Center's DNA biobank BioVU, COHO:0000417 (label BioVU, synonyms Vanderbilt, Vanderbilt DNA Databank, Vanderbilt Biobank). The only name it lacks is the atlas's own, "BioVU Vanderbilt". EAGLE BioVU (COHO:0000751) is a subset, not this entry.
German National Cohort (NAKO)	German National Cohort (NAKO)	mint cohort	COHO:0002683	German National Cohort	NAKO|GNC	German National Cohort (NAKO)|NAKO Gesundheitsstudie|NAKO Health Study|German National Cohort health study	cohort				PMID:37533684		The German National Cohort health study (NAKO) is a prospective multicenter cohort study (N = 204,878).	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:37533684%20AND%20SRC:MED&format=json&resultType=core	A multidisciplinary population-based prospective cohort of men and women aged 19 to 74 years drawn at random from the general population and examined between 2014 and 2019 at 18 study centres across Germany, with interviews, questionnaires, biomedical examinations, biosamples and whole-body magnetic resonance imaging in a subsample, followed up by questionnaires, record linkage and re-examination, to investigate the causes, early detection and prevention of common chronic and infectious diseases.	PMID:36260190	Claude Opus 5.5 (Anthropic), 2026-09	Germany	Between 2014 and 2019, a total of 205,415 men and women aged 19–74 years were recruited and examined in 18 study centres in Germany.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9581448/fullTextXML					IHCC Cohort Atlas entry "German National Cohort (NAKO)" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The German National Cohort / NAKO Gesundheitsstudie, Germany's national population cohort (lead Annette Peters, 2014–2019, about 205,000 participants). Not in COHO under any name: searched German National, NAKO, GNC, Gesundheitsstudie and National Cohort. The Global Exposome Cohort Catalogue review (src/curation/exposome_catalogue_review.tsv) holds an unresolved row GNC that it inferred to be this cohort; if this is minted, that row can point to it. "GNC" is the English abbreviation used in papers (e.g. PMID:36360473 per that review row; I did not re-read it). The English papers call it "German National Cohort (NAKO)", used here as label; the cohort's German name is "NAKO Gesundheitsstudie" (its website) and "NAKO Health Study" is its English name; the curator may prefer that as label since the cohort now uses it.
The Malaysian Cohort	The Malaysian Cohort	mint cohort	COHO:0002684	The Malaysian Cohort	TMC	Malaysian Cohort|The Malaysian Cohort project|The Malaysian Cohort Study	cohort				PMID:29462329		A baseline cross-sectional analysis of the Malaysian Cohort was conducted, which included 105 391 adults.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6104700/fullTextXML	A nationwide population-based prospective cohort of multi-ethnic Malaysian adults aged 35 to 70 years, recruited from 2006 to 2012 by the UKM Medical Molecular Biology Institute of the National University of Malaysia and followed up by periodic re-surveys, telephone follow-up and registry linkage, to study the causes of non-communicable diseases.	PMID:34299667|PMID:29462329	Claude Opus 5.5 (Anthropic), 2026-09	Malaysia	TMC is a nationwide prospective cohort project, which recruited approximately 100 000 Malaysians aged between 35 and 70 y at baseline.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6104700/fullTextXML					IHCC Cohort Atlas entry "The Malaysian Cohort" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The Malaysian Cohort (TMC), the national population cohort run by Universiti Kebangsaan Malaysia (website ukm.my/mycohort, lead Rahman Jamal, from 2007 per the atlas; the papers say recruitment ran 2006–2012 with 106,527 participants). Not in COHO: the Malaysian Breast Cancer cohort (COHO:0000295) and Malaysia Ovarian Cancer Genetic Study (COHO:0002103) are different studies. No other COHO term uses the acronym TMC. The quotes: "The Malaysian Cohort (TMC) project is a large population-based cohort study that managed to recruit 106,527 participants over a period from the year 2006 until 2012" (PMC8305012).
Center for Applied Genomics, Children's Hospital of Philadelphia	Center for Applied Genomics, Children's Hospital of Philadelphia	existing	COHO:0000489			Center for Applied Genomics, Children's Hospital of Philadelphia																			IHCC Cohort Atlas entry "Center for Applied Genomics, Children's Hospital of Philadelphia" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas names the institution (Center for Applied Genomics at CHOP, lead Hakon Hakonarson, enrolment from 2006); its cohort is the CAG biobank of paediatric and adult participants, COHO:0000489 "Center for Applied Genomics Biobank" (synonyms CHOP, CAG, Children's Hospital of Philadelphia, CAG biobank). The IHCC study PMID:37337639 uses it: "57 613 randomly selected individuals with genotypes and BMI data from the the Center for Applied Genomics biobank at the Children's Hospital of Philadelphia were used for the validation." Only the atlas's own name is missing.
Genomics England / 100,000 Genomes Project	Genomics England / 100,000 Genomes Project	existing	COHO:0000206			Genomics England / 100,000 Genomes Project																			IHCC Cohort Atlas entry "Genomics England / 100,000 Genomes Project" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
American Cancer Society Cancer Prevention Study-3	American Cancer Society Cancer Prevention Study-3	mint cohort	COHO:0002685	Cancer Prevention Study-3	CPS-3|CPS3	American Cancer Society Cancer Prevention Study-3|Cancer Prevention Study 3|American Cancer Society's Cancer Prevention Study 3	cohort				PMID:39150951		The CPS-3 Activity Validation Sub Study (AVSS) was conducted in 2015 to further investigate rest/activity cycles among a subset of CPS-3 study participants	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11329134/fullTextXML	A prospective cohort of adults in the United States and Puerto Rico recruited by the American Cancer Society between 2006 and 2013, mainly at community events, who gave a blood sample and survey information and are followed through repeat surveys and linkage with cancer registries and the National Death Index, to study lifestyle, genetic and other causes of cancer and other outcomes.	PMID:28171707	Claude Opus 5.5 (Anthropic), 2026-09	United_States || Puerto_Rico	The American Cancer Society Cancer Prevention Study-3 (CPS-3) is a prospective cohort study of over 300,000 US adults with the primary goal of investigating cancer incidence and mortality || The American Cancer Society (ACS) recruited a new prospective cohort study, Cancer Prevention Study 3 (CPS-3), between 2006 and 2013 from 35 states and Puerto Rico.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11329134/fullTextXML || https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:28171707%20AND%20SRC:MED&format=json&resultType=core					IHCC Cohort Atlas entry "American Cancer Society Cancer Prevention Study-3" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. CPS-3, the American Cancer Society's third Cancer Prevention Study cohort (lead Alpa Patel, 2006–2013, about 303,000 participants). Not in COHO: COHO:0000024 "Cancer Prevention Study" is CPS-II (enrolled 1982; its synonyms include CPS-II and the generic acronym CPS). CPS-3 was recruited separately, so it is a new cohort, not a sub-cohort of COHO:0000024; no source makes it part of another cohort. The acronym CPS is not used for CPS-3 here, so no shared-acronym note is needed.
Civil Service Hospital, Minbhawan Kathmandu Nepal	Civil Service Hospital, Minbhawan Kathmandu Nepal	not a cohort																							IHCC Cohort Atlas entry "Civil Service Hospital, Minbhawan Kathmandu Nepal" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is a hospital (Civil Service Hospital, Minbhawan, Kathmandu, Nepal) with 100 participants enrolled in 2019 and no website, no description and no study name. I found no paper or web page describing a named cohort or biobank there. As recorded it is an institution with an unnamed sample of 100 people, which by the checking rules is not a cohort. If a named study turns up (for example from the lead investigator), it can be revisited; country would be Nepal, which is not in gaz_xrefs.tsv (DBpedia resource Nepal).
ELSA-Brasil	ELSA-Brasil	existing	COHO:0001320			ELSA-Brasil																			IHCC Cohort Atlas entry "ELSA-Brasil" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
Personalized Genes and Environment Study/NIEHS	Personalized Genes and Environment Study/NIEHS	mint cohort	COHO:0002686	Personalized Environment and Genes Study	PEGS|EPR	Environmental Polymorphisms Registry|Personalized Genes and Environment Study/NIEHS|Personalized Genes and Environment Study	cohort				PMID:36383734		We conducted an exposome-wide association study in the multiancestry Personalized Environment and Genes Study to assess the effects of environmental factors on type 2 diabetes.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:36383734%20AND%20SRC:MED&format=json&resultType=core	A cohort of demographically diverse adults recruited in North Carolina since 2002 by the National Institute of Environmental Health Sciences, first as the Environmental Polymorphisms Registry, who complete surveys on health, exposures, diet and lifestyle, give biological samples and are genotyped, with geocoded residential data, to study how environment, lifestyle and genes act together on disease.	PMID:41927563	Claude Opus 5.5 (Anthropic), 2026-09	United_States	PEGS participants are recruited in outpatient clinics and hospitals and at over 200 unique sites in North Carolina that include businesses, career fairs, universities, community events such as charity walks, health fairs and festivals, senior centers, sporting events, social clubs, religious institutions, and military bases.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13216552/fullTextXML					IHCC Cohort Atlas entry "Personalized Genes and Environment Study/NIEHS" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The NIEHS Personalized Environment and Genes Study (PEGS), which began in 2002 as the Environmental Polymorphisms Registry (EPR) and was renamed in 2022 ("The EPR was renamed the Personalized Environment and Genes Study in 2022.", PMC13216552); participants are recruited at NIEHS's Clinical Research Unit and community sites in North Carolina. The atlas swaps the words ("Personalized Genes and Environment Study"); the study's own name is "Personalized Environment and Genes Study". Not in COHO under PEGS, EPR or either name; the resembling COHO names are unrelated. The country quote names North Carolina, a US state. The atlas's enrolment period "2013:2013" does not match the papers (registry from 2002, enrolment ongoing); the definition follows the paper. EPR as an acronym is a former name; no COHO term uses EPR or PEGS.
Sequence Bio	Sequence Bio	mint cohort	COHO:0002687	Newfoundland and Labrador Genome Project	NLGP	NL Genome Project	cohort				PMID:37117635		we aimed to explore the non-Indigenous (European) settlement of the present NL population in unprecedented detail, studying a sample of 1807 individuals with NL ancestry from the Newfoundland and Labrador Genome Project (NLGP), together with ancestry source references from Britain and Ireland.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10147672/fullTextXML	A general population cohort of adults in Newfoundland and Labrador, Canada, established by the company Sequence Bioinformatics (Sequence Bio) of St. John's and recruiting from 2019, whose participants, aged 18 and over with a valid provincial health card, were recruited at random from general practice clinics across the province and gave medical history and saliva samples for genotyping, to characterise the genetics of the province's founder population and find genetic causes of disease.	PMID:37117635|https://atlas.ihccglobal.org/	Claude Opus 5.5 (Anthropic), 2026-09	Canada	We have performed a systematic analysis of the European ancestry within the Canadian province of NL.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10147672/fullTextXML					IHCC Cohort Atlas entry "Sequence Bio" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry names the company, Sequence Bio (Sequence Bioinformatics Inc., St. John's), not a cohort; its general population cohort, recruiting since 2019 (atlas), is the Newfoundland and Labrador Genome Project, which PMID:37117635 calls 'a general population cohort focused on the characterization of Newfoundland and Labrador's population (Sequence Bio Inc., 2021)'. Not in COHO (no NLGP, NL Genome or Newfoundland genome term; COHO:0000601 Newfoundland Colorectal Cancer Registry is unrelated). The company also runs later disease-specific family studies (inherited disease, familial ovarian cancer, MS, IPF) listed on its website; those are not this entry. 'Sequence Bio' is the company's name, so I did not add it as a synonym; add it only if the curator wants the atlas's tag kept. The recruitment start 2019 is from the atlas only; the definition's quote for recruitment: 'The NL Genome Project was based on the random recruitment of participants from General Practice clinics from across the province that were 18 years of age and over, possessed a valid NL health card, and provided written consent.'.
All of Us / NIH	All of Us / NIH	existing	COHO:0000423		All of Us / NIH																				IHCC Cohort Atlas entry "All of Us / NIH" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The NIH All of Us Research Program, already COHO:0000423 (label All of Us Research Program, synonyms All of Us and NIH All of Us Research Program). The atlas's id 'All of Us / NIH' is the only name the term lacks; it is the catalogue's tag, given as an acronym per the catalogue-id convention (drop it if the curator treats it as a mere variant). The atlas's lead investigator and website confirm the identity.
UKCTOCS Longitudinal Women's Cohort (UKLWC)	UKCTOCS Longitudinal Women's Cohort (UKLWC)	mint cohort	COHO:0002688	UKCTOCS Longitudinal Women's Cohort	UKLWC|UKCTOCS	United Kingdom Collaborative Trial of Ovarian Cancer Screening|UK Collaborative Trial of Ovarian Cancer Screening	cohort		COHO:0002501		PMID:40067807		Using a longitudinal cohort from the United Kingdom Collaborative Trial of Ovarian Cancer Screening (UKCTOCS) study, we have established that elevated autoantibodies can be detected an average of four years in advance of clinical presentation, and in some cases up to 8 years prior to clinical presentation.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11896025/fullTextXML	A cohort of postmenopausal women aged 50–74 from the general population of England, Wales and Northern Ireland, recruited in 2001–2005 to the United Kingdom Collaborative Trial of Ovarian Cancer Screening (UKCTOCS), a randomised trial of ovarian cancer screening, whose donated serum samples (at recruitment and, in the multimodal screening arm, annually until 2011) and linked national health records are kept by the MRC Clinical Trials Unit at University College London as an open bioresource for studies of common diseases and disease markers.	https://www.innovative-ctu.ucl.ac.uk/studies/all-studies/u/uklwc/|https://uklwc.mrcctu.ucl.ac.uk/overview	Claude Opus 5.5 (Anthropic), 2026-09	United_Kingdom	In this trial 202,638 postmenopausal women aged 50 and above were recruited through thirteen UK centres between 2001 and 2005.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11896025/fullTextXML					IHCC Cohort Atlas entry "UKCTOCS Longitudinal Women's Cohort (UKLWC)" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The UKLWC is the bioresource of the women of the UKCTOCS ovarian cancer screening trial: the UCL ICTU page says 'UKLWC is the bioresource created during the course of the United Kingdom Collaborative Trial of Ovarian Cancer Screening (UKCTOCS) as a result of participants (202,280 postmenopausal women from the general population in England, Wales and Northern Ireland) donating their samples and data for use in secondary studies.' The trial randomised 202,638 women; the UKLWC is the 202,280 who donated, so the trial and the UKLWC are the same people bar withdrawals, and neither is in COHO (no UKCTOCS, UKLWC or ovarian screening trial term). I propose one term, labelled with the entry's own name, carrying the trial's name and acronym as synonyms, since papers name it as UKCTOCS; a curator who prefers two terms would mint UKCTOCS and make the UKLWC isSubCohortOf it. The atlas's separate entry 'UCL, UK' (same lead investigator, enrolment 2001–2005, 202,638) is this same cohort.
South(east) Asian Cohorts	South(east) Asian Cohorts	unresolved																							IHCC Cohort Atlas entry "South(east) Asian Cohorts" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is a collective label ('South(east) Asian Cohorts', plural; region 'Southeastern Asia'; website the Cambridge Cardiovascular Epidemiology Unit (CEU); enrolment from 2010, 80,000 of a target 120,000), not the name of a cohort, and no source I found defines it. The CEU's South Asian studies are the Bangladesh Risk of Acute Vascular Events Study (BRAVE, established 2011; COHO:0001546), the Pakistan Risk Of Myocardial Infarction Study (PROMIS; COHO:0000169) and the BangladEsh Longitudinal Investigation of Emerging Vascular Events (BELIEVE, launched 2016, about 74,000 participants per the CEU Global Health page; not in COHO). The numbers fit BRAVE plus BELIEVE, which would make this an umbrella of CEU cohorts, but nothing says so, and the start year 2010 and 'Southeastern Asia' fit neither exactly. Not minted as an aggregation for want of a source naming it and its members; BELIEVE (https://www.phpc.cam.ac.uk/research/departmental-research-units/ceu/global-health, cohort profile PMC11784369) is a candidate new cohort in its own right. The automatic 'exact' match to COHO:0001477 (Early Treatment of Atrial Fibrillation for Stroke Prevention Trial) is spurious (it matched the '(east)' in the name to that trial's acronym EAST).
International Laboratory for Human Genome Research	International Laboratory for Human Genome Research	not a cohort																							IHCC Cohort Atlas entry "International Laboratory for Human Genome Research" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The entry names an institute, the International Laboratory for Human Genome Research (Laboratorio Internacional de Investigación sobre el Genoma Humano, LIIGH) of UNAM in Mexico, not a cohort, and the atlas gives no description; only a small collection (200 enrolled since 2022, target 2,000). The lead investigator's lab studies rare and undiagnosed genetic disease in Mexican patients and families and set up the Mexican Rare Diseases Network (ReMexER), 'A collaborative of clinicians and researchers tending to patients with rare diseases in Mexico' (https://liigh.unam.mx/cgonzagaj/index.php/projects/); the collection is probably the lab's rare-disease patient series through that network, but no source I found names it or describes its participants, so there is nothing to mint. If the curator can get the cohort's name from IHCC, re-check it. No COHO term matches (the resembling names are unrelated).
NHSII (Nurses' Health Study II, NCI)	NHSII (Nurses' Health Study II, NCI)	existing	COHO:0000619			NHSII (Nurses' Health Study II, NCI)|Nurses' Health Study II, NCI																			IHCC Cohort Atlas entry "NHSII (Nurses' Health Study II, NCI)" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
