child,child label,parent,parent label,relation,verdict,quote,URL,note,batch
COHO:0000311,NeoALTTO,COHO:0000227,CALGB 40601,,rejected,,,NeoALTTO and CALGB 40601 are two separate phase III trials used as discovery and validation cohorts; no sub-cohort relation.,s009
COHO:0000176,UK Biobank,COHO:0000064,Estonian Biobank,,rejected,,,UK Biobank subsamples and an Estonian Biobank sample are separate PRS test samples; UK Biobank is not part of the Estonian Biobank.,s009
COHO:0000434,Genetic Epidemiology Network of Arteriopathy,COHO:0001028,Pharmacogenetics of Opioid Substitution Treatment Response,,rejected,,,"Name clash: GENOA in these sentences is the GENetics of Opioid Addiction study (COHO:0000467), not the Genetic Epidemiology Network of Arteriopathy; and in any case the two studies are only pooled side by side.",s009
COHO:0000457,Penn Medicine BioBank,COHO:0000482,Colorado Center for Personalized Medicine Biobank,,rejected,,,"PMBB and CCPM are separate biobanks, both described as part of GBMI and used side by side for replication; neither is part of the other.",s009
COHO:0002645,Harmonized Diagnostic Assessment of Dementia for the Longitudinal Aging Study in India,COHO:0000089,Health and Retirement Study,,rejected,,,"LASI-DAD and HRS are analysed side by side with their own sample weights (a cross-national comparison); LASI-DAD is a sub-sample of LASI, not of the Health and Retirement Study. No link stated.",s010
COHO:0000176,UK Biobank,COHO:0000985,Trans-Omics for Precision Medicine Program,,rejected,,,"UK Biobank is only the source of external PRS weights, and TOPMed is the imputation reference for REPRIEVE / the sequencing programme for GACRS and CAMP. Nothing says UK Biobank is a TOPMed study.",s010
COHO:0000006,Africa Wits-INDEPTH partnership for Genomics studies,COHO:0000176,UK Biobank,,rejected,,,The sentence contrasts a study sample with the Agincourt sub-cohort of AWI-Gen and then introduces UK Biobank participants as a separate dataset. AWI-Gen is not part of UK Biobank.,s010
COHO:0000045,Cooperative Health Research in the Region of Augsburg,COHO:0000118,Monitoring of Trends and Determinants in Cardiovascular Disease,,rejected,,,"The paper describes a case-cohort study within the MONICA/KORA Augsburg studies: the Augsburg MONICA surveys S1-S3 were followed up in the KORA framework. KORA extends the Augsburg MONICA centre; it is not one of the populations collected by the WHO MONICA project, so neither KORA memberOf MONICA nor the reverse is stated. (A MONICA Augsburg term, if COHO had one, would be the member of MONICA.)",s010
COHO:0000503,UCLA ATLAS Community Health Initiative,COHO:0000002,1000 Genomes,,rejected,,,1000 Genomes phase 3 is merged with ATLAS genotypes as an ancestry reference panel; ATLAS is not part of 1000 Genomes.,s010
COHO:0000629,Cardiovascular Disease Association Study,COHO:0000600,Health Examinees Study,,rejected,,,"KARE, CAVAS and HEXA are listed as three sibling KoGES cohorts; CAVAS is not drawn from HEXA. Both are already members of KoGES.",s010
COHO:0001178,German Multicenter Allergy Study,COHO:0001502,Asthma UK Genetics of Severe Asthma,,rejected,,,"MAS (German Multicenter Allergy Study) and AUGOSA are sibling case-only sub-studies of the GABRIEL Consortium (PMC4936310, Table 1: MAS Germany, AUGOSA United Kingdom). MAS is not part of AUGOSA.",s010
COHO:0000071,FINRISK,COHO:0000064,Estonian Biobank,,rejected,,,"A list of Finnish and Estonian cohorts measured on the same platform (EGCUT, FINRISK 1997 subsample, PredictCVD, EGCUT sub-cohort PROTE, etc.); FINRISK is Finnish and has nothing to do with the Estonian Biobank.",s010
COHO:0001367,Lung Oncology Research & Discovery,COHO:0000031,"CARTaGENE cohort (CHU Sainte-Justine, Quebec, Canada)",,rejected,,,"LORD/CARTaGENE is a case-control dataset combining lung cancer cases from LORD (hospital-based, IUCPQ-UL) with ethnically matched population controls from CARTaGENE. LORD is not drawn from CARTaGENE.",s010
COHO:0001177,Gene-Lifestyle Interactions and Complex Traits Involved in Elevated Disease Risk Study,COHO:0002549,Västerbotten Intervention Project,isSubCohortOf,confirmed,The GLACIER study is a nested study within the Northern Sweden Health and Disease Study; phenotyping was conducted as part of the Västerbotten Intervention Project.,https://pmc.ncbi.nlm.nih.gov/articles/PMC3679547/,"GLACIER participants were phenotyped in the Västerbotten Intervention Programme health examinations, i.e. GLACIER is a sub-sample of VIP participants (consistent with GLACIER's own definition in COHO and with both terms being subCohorts of NSHDS). The quote states the nesting in NSHDS explicitly and the VIP link through phenotyping; the same wording is in the Nat Genet supplement (doc f5a45a4d7b92616d585da7acae47c819). A curator may prefer a GLACIER cohort-profile quote saying 'participants of the VIP' if one is cached.",s010
COHO:0000610,Genetics and Epidemiology of Colorectal Cancer Consortium,COHO:0000773,Colorectal Transdisciplinary Study,,rejected,,,"GECCO, CORECT and CCFR are named as three separate colorectal cancer genetic consortia whose studies are pooled; GECCO is not a member of CORECT.",s010
COHO:0000131,Norwegian Mother and Child Cohort study,COHO:0002626,Kaunas cohort,,rejected,,,MoBa and KANC are two sibling HELIX cohorts compared in the subcohort results; MoBa is not part of the Kaunas cohort.,s010
COHO:0000433,Generation Scotland: Scottish Family Health Study,COHO:0000175,UK Adult Twin Register,,rejected,,,"Generation Scotland and TwinsUK are two separate cohorts whose exome data both came from the UK10K project; the text only lists them side by side (cases from each), it does not make one part of the other.",s011
COHO:0000626,Physicians' Health Study,COHO:0001521,Belfast Elderly Longitudinal Free-living Ageing Study,,rejected,,,The Physicians Health Study is only cited as related evidence in a paper on the BELFAST study; two unrelated cohorts (US male physicians vs Belfast octogenarians).,s011
COHO:0000148,Rotterdam Study,COHO:0000063,Erasmus Rucphen Family Study,,rejected,,,"The Rotterdam Study and the Erasmus Rucphen Family Study are listed as independent Dutch cohorts combined for discovery (""4 large, independent population-based cohort studies""); neither is part of the other.",s011
COHO:0001234,Shanxi Upper Gastrointestinal Cancer Genetics Project,COHO:0001214,Linxian General Population Nutrition Intervention Trial,,rejected,,,"GWAS participants were drawn from two separate studies, the Shanxi UGI Cancer Genetics Project (a hospital case-control study in Shanxi) and the Linxian NIT (a prospective cohort in Henan); the text pools them, it does not nest one in the other.",s011
COHO:0000544,Rotterdam Study I,COHO:0002607,Rotterdam Study III,,rejected,,,"RS-I and RS-III are sibling sub-cohorts of the Rotterdam Study (""divided into 3 subcohorts from different enrolment periods, namely RS-I, RS-II and RS-III""); both already have isSubCohortOf COHO:0000148, and neither is part of the other.",s011
COHO:0000420,Cardiovascular Risk in Young Finns Study,COHO:0001213,Northern Finland Birth Cohort 1966,,rejected,,,NFBC1966 and the Young Finns Study are two separate Finnish cohorts analysed in parallel (a subset of individuals from each); no nesting.,s011
COHO:0000541,Kaiser Permanente Research Bank,COHO:0000431,Genetic Epidemiology Research on Adult Health and Aging,,rejected,,,"The sentence says GERA is a component of the Kaiser Permanente Research Program on Genes, Environment, and Health (RPGEH), not of the Kaiser Permanente Research Bank; the match is the shared synonym 'KP'. GERA already has isSubCohortOf COHO:0000473 (RPGEH). The cached texts do not mention the Research Bank at all, so no link either way between KPRB and GERA.",s011
COHO:0000989,African American Breast Cancer Consortium,COHO:0001483,African American Breast Cancer Epidemiology and Risk Consortium,,rejected,,,"AABC and AMBER are separate consortia analysed side by side (""AMBER, ROOT, and AABC consortia""); the sentence only says two studies (WCHS, CBCS) took part in both, with their samples counted under AMBER. Neither consortium is a member of the other.",s011
COHO:0000078,Genetic Epidemiology of Asthma in Costa Rica,COHO:0000998,Childhood Asthma Management Program,,rejected,,,GACRS (Costa Rica families) and CAMP (a US/Canada childhood asthma trial) are separate studies whose WGS was produced by TOPMed and which were analysed together; the text does not make one part of the other.,s011
COHO:0000449,23andMe research cohort,COHO:0000176,UK Biobank,,rejected,,,23andMe and UK Biobank are separate cohorts combined or compared in meta-analyses and risk-score validation; no sentence makes 23andMe part of UK Biobank.,s011
COHO:0000182,Wellcome Trust Case Control Consortium,COHO:0001176,German Myocardial Infarction Family Study,,rejected,,,WTCCC and the German MI Family Study are separate case collections (WTCCC controls and the GerMIFS cases described in adjacent paragraphs; WTCCC data cited as an online resource); the WTCCC is not a member of GerMIFS nor the reverse.,s011
COHO:0000391,Swedish CArdioPulmonary bioImage Study,COHO:0000392,Malmö Offspring Study,,rejected,,,"SCAPIS and MOS are listed side by side as separate discovery studies (with SIMPLER) in a figure legend; nothing says SCAPIS was drawn from MOS. The same paper's supplement says MOS participants who were also in SCAPIS were excluded, which shows the two overlap, not that one is a sub-cohort of the other.",s012
COHO:0001218,Pancreatic Cancer Cohort Consortium,COHO:0001387,Pancreatic Cancer Case-Control Consortium,,rejected,,,PanScan (Pancreatic Cancer Cohort Consortium) and PanC4 are named as two distinct consortia whose GWAS phases were pooled or meta-analysed together ('drawn from the Pancreatic Cancer Cohort Consortium and the Pancreatic Cancer Case-Control Consortium (PanC4)'). Neither is a member of the other.,s012
COHO:0001048,Australian Breast Cancer Family Study,COHO:0001003,"Discovery, Biology, and Risk of Inherited Variants in Breast Cancer",memberOf,confirmed,Members of DRIVE DRIVE acknowledges the following GWASs and investigators that shared genome-wide summary data as part of the breast-cancer GWAS meta-analysis: the Australian Breast Cancer Family Study (ABCFS),https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002118,"DRIVE is the consortium (typed cohort aggregation) and ABCFS is one of the GWAS that shared summary data with its meta-analysis, listed under 'Members of DRIVE'. So the link is ABCFS memberOf DRIVE (DRIVE hasCohort ABCFS), not DRIVE isSubCohortOf ABCFS. The same wording appears in PMC5766533 (doc c0f4cc3cdd97c2e85a1eddbb6dd29028).",s012
COHO:0001222,Karolinska Mammography Project for Risk Prediction of Breast Cancer - Case-Control Study,COHO:0001093,Karolinska Mammography Project for Risk Prediction of Breast Cancer,,rejected,,,"pKARMA is a case-control study whose controls come from the KARMA cohort but whose cases come from the LIBRO-1 study ('pKARMA is made up of 5,002 invasive breast cancer cases (from the Linne-Brost 1 (Libro1) study) and 5,433 controls (from the Karolinska Mammography Project for Risk Prediction of Breast Cancer (KARMA60))', PMC5517429). Only its controls are KARMA participants, so it is not a sub-cohort of KARMA as a whole. The curator may want to mention the KARMA control source in the pKARMA definition, as it already does.",s012
COHO:0000392,Malmö Offspring Study,COHO:0000391,Swedish CArdioPulmonary bioImage Study,,rejected,,,"The supplement says 'MOS: Participants who were also part of the SCAPIS cohort were excluded from the MOS data', i.e. some people took part in both, and elsewhere lists SCAPIS, SIMPLER and MOS as separate cohorts with their own recruitment. An overlap is not a sub-cohort relation; MOS was recruited as offspring of MDC-CC participants, not from SCAPIS.",s012
COHO:0000856,ASPirin in Reducing Events in the Elderly,COHO:0000176,UK Biobank,,rejected,,,ASPREE is the discovery trial cohort and a subgroup of UK Biobank participants was selected as a separate replication sample. The 'subgroup ... from the UK Biobank' is not ASPREE; no link between the two terms.,s012
COHO:0000997,Biobanque québécoise de la COVID-19,COHO:0000730,Genetics Of Mortality In Critical Care,,rejected,,,BQC19 and GenOMICC are named as two separate studies within HostSeq (leave-one-out subsets); BQC19 is not part of GenOMICC. Both are already members of COHO:0000238.,s012
COHO:0000113,Marseille Thrombosis Association Study,COHO:0000845,Riesgo de Enfermedad TROmboembólica VEnosa,,rejected,,,"MARTHA and RETROVE are listed as separate venous thrombosis studies in a multi-study analysis; MARTHA is a subsample 'derived from case/control study' of its own, not of RETROVE.",s012
COHO:0000927,Northern Sweden Health and Disease Study,COHO:0000118,Monitoring of Trends and Determinants in Cardiovascular Disease,,rejected,,,"The sentence says the Northern Sweden MONICA project is one of the cohorts within NSHDS. That makes the Northern Sweden MONICA centre (not a COHO term) part of both NSHDS and WHO MONICA; NSHDS as a whole is not a member of MONICA. If anything, a Northern Sweden MONICA term would be a sub-cohort of NSHDS and a member of MONICA.",s012
COHO:0000176,UK Biobank,COHO:0000108,LifeLines,,rejected,,,"UK Biobank and Lifelines are only mentioned together (as separate samples in an analysis, as sources of biobank workflows, as separate cohorts in a meta-analysis). No link.",s012
COHO:0001440,Center for Oral Health Research in Appalachia cohort 1,COHO:0001444,Center for Oral Health Research in Appalachia cohort 2,,rejected,,,COHRA1 and COHRA2 are two distinct cohorts of the Center for Oral Health Research in Appalachia listed side by side (phenotypes 'drawn from the last possible dental exam' in each; genotyped on different chips). Neither is drawn from the other.,s012
COHO:0000626,Physicians' Health Study,COHO:0000527,Health Professionals Follow-up Study,,rejected,,,"PHS and HPFS are listed as two of three separate source studies ('The study participants were part of the Physicians' Health Study (PHS), Health Professionals Follow-up Study (HPFS), and ...'). They are distinct cohorts.",s012
COHO:0000002,1000 Genomes,COHO:0000284,International HapMap Project,,rejected,,,"Both are used only as reference resources: the markers were derived from 1000 Genomes and HapMap phases, and LD scores from 1000 Genomes were subset to HapMap 3 variants. Neither sentence says 1000 Genomes participants are drawn from HapMap.",s013
COHO:0000002,1000 Genomes,COHO:0000422,China Kadoorie Biobank,,rejected,,,1000 Genomes Phase 3 is used as an ancestry and allele-frequency reference panel for CKB genotype QC. It is not part of CKB.,s013
COHO:0000078,Genetic Epidemiology of Asthma in Costa Rica,COHO:0000985,Trans-Omics for Precision Medicine Program,memberOf,confirmed,"WGS data for GACRS and CAMP were generated as part of the National Heart, Lung, and Blood Institute Trans-Omics for Precision Medicine (TOPMed) WGS Program.",https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC8531156/unicode,"GACRS (Genetic Epidemiology of Asthma in Costa Rica Study) is a TOPMed study: its WGS was generated within TOPMed. PMC10124713 (doc 5c1422078197a3cf406ed68370f6a2fc) also names the dbGaP study ""NHLBI TOPMed: Genetic Epidemiology of Asthma in Costa Rica"" (phs000988).",s013
COHO:0000731,Collaborative Oncological Gene-environment Study,COHO:0000284,International HapMap Project,,rejected,,,HapMap 2 and HapMap 3 genotypes are combined with iCOGS data only as ancestry reference populations for outlier detection and principal components. iCOGS is not drawn from HapMap.,s013
COHO:0000567,London Life Sciences Prospective Population Study,COHO:0000169,The Pakistan Risk Of Myocardial Infarction Study,,rejected,,,"LOLIPOP and PROMIS are separate South Asian studies that are both listed as contributors, for example to the C4D consortium and a GWAS lookup. Neither is part of the other.",s013
COHO:0000427,Cleveland Family Study,COHO:0000385,Framingham Heart Study,,rejected,,,"The Cleveland Family Study is listed alongside subsets of ARIC, CHS and FHS that took part in the Sleep Heart Health Study, within the CARe project. CFS is not drawn from Framingham. The FHS subset belongs to the SHHS, not to CFS.",s013
COHO:0000064,Estonian Biobank,COHO:0000176,UK Biobank,,rejected,,,"The Estonian Biobank and UK Biobank are independent biobanks, used together as replication or heritability samples. Neither is part of the other.",s013
COHO:0000595,SWOG Cancer Research Network,COHO:0000022,Cancer and Leukemia Group B,,rejected,,,"SWOG and CALGB are separate cooperative groups that ran joint trials (CALGB 40502, CALGB/SWOG 80405). The text says that CALGB and NCCTG are now part of the Alliance, not that SWOG belongs to CALGB.",s013
COHO:0000459,Ludwigshafen Risk and Cardiovascular Health Study,COHO:0000113,Marseille Thrombosis Association Study,,rejected,,,LURIC and a MARTHA subsample are two of the four independent study populations from the CHARGE Consortium used in one analysis. LURIC is not drawn from MARTHA.,s013
COHO:0000459,Ludwigshafen Risk and Cardiovascular Health Study,COHO:0000845,Riesgo de Enfermedad TROmboembólica VEnosa,,rejected,,,"LURIC and RETROVE are two of the four independent study populations, all part of CHARGE, used in one analysis. LURIC is not drawn from RETROVE.",s013
COHO:0000392,Malmö Offspring Study,COHO:0000758,Malmö Diet and Cancer Study–Cardiovascular Cohort,,rejected,,,"The Malmö Offspring Study recruits the adult children and grandchildren of MDC-CC participants. It is not a sub-sample of the MDC-CC's own participants. The text says: 'The study participants of MOS consists of invited adult children and grandchildren to participants in the Malmö Diet and Cancer Study—Cardiovascular Cohort (MDCS-CC, n = 6103)' (doc 3f606ad80ba6d8de86b3205d1fe69d7d). MDC-CC is MOS's index generation (G1). This family relation is already stated in the MOS definition and does not fit isSubCohortOf.",s013
COHO:0000150,Sahlgrenska Academy Study on Ischemic Stroke,COHO:0000296,Malmö Diet and Cancer Study,,rejected,,,SAHLSIS (Gothenburg stroke case-control) and MDC (a Malmö prospective cohort) are separate sources pooled in one analysis. SAHLSIS is not drawn from MDC.,s013
COHO:0000184,INTERVAL study,COHO:0000066,European Prospective Investigation of Cancer-Norfolk,,rejected,,,"The 'nested within' cue belongs to EPIC-Norfolk within EPIC (see the next pair), not INTERVAL. The paper (PMC9671801) uses INTERVAL and EPIC-Norfolk as two separate UK cohorts in a metabolomics GWAS. INTERVAL is nested within a trial of blood donors, not within EPIC-Norfolk.",s014
COHO:0000066,European Prospective Investigation of Cancer-Norfolk,COHO:0000065,European Prospective Investigation into Cancer,isSubCohortOf,confirmed,"EPIC-Norfolk , one of the UK arms of EPIC, recruited and examined 25,639 participants aged 40-79 years between 1993 and 1997 for the baseline examination9 .",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs42003-020-0802-y/MediaObjects/42003_2020_802_MOESM1_ESM.pdf,"In the same document, the sentence just before this one defines EPIC as 'The European Prospective Investigation into Cancer (EPIC) study is a pan-European prospective cohort study'. EPIC-Norfolk is the Norfolk arm of EPIC. PMC9671801 (doc 594a93f602bd09a674f5a9d3078c9e94) supports the same link: 'The EPIC-Norfolk study ... is a population-based prospective cohort study, nested within the European Prospective Investigation of Cancer (EPIC) study'.",s014
COHO:0000176,UK Biobank,COHO:0000527,Health Professionals Follow-up Study,,rejected,,,The sentences only name the two cohorts together in acknowledgements and among data sources (PMC10173489). UK Biobank is not part of HPFS.,s014
COHO:0000121,Multiethnic Cohort Study of Diet and Health,COHO:0000456,Nurses' Health Study,,rejected,,,"MEC and NHS are only listed side by side as separate contributing studies of consortia (PanScan III, GECCO and a pooled breast cancer analysis). Neither cohort is part of the other.",s014
COHO:0000346,British Heart Foundation Family Heart Study,COHO:0000182,Wellcome Trust Case Control Consortium,,rejected,,,"BHF-FHS as a whole is not a member of the WTCCC. The text says the WTCCC coronary artery disease cases were collected in the BHF Family Heart Study and genotyped 'as part of the WTCCC'. COHO already has that case collection as the WTCCC member COHO:0000358 (WTCCC case-control study for Coronary Artery Disease). A new pair is supported instead: COHO:0000358 isSubCohortOf COHO:0000346. The quote is 'CAD-WTCCC (WTCCC Coronary Artery Disease cases) - Collection of the CAD-WTCCC cases (BHF Family Heart Study) was funded by the British Heart Foundation and the Medical Research Council and genotyping by the Wellcome Trust as part of the WTCCC.' It comes from doc e8d9a85023bfe3e49a00a4c9cabb78b7, https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fng.686/MediaObjects/41588_2010_BFng686_MOESM13_ESM.pdf. Strictly, this makes the WTCCC CAD cases (not their controls) a sub-sample of BHF-FHS.",s014
COHO:0000367,Alzheimer's Disease Neuroimaging Initiative,COHO:0001145,Berkeley Aging Cohort Study,,rejected,,,ADNI and BACS are listed as separate cohorts pooled in a harmonisation analysis (PMC10369372). ADNI is not part of the Berkeley Aging Cohort Study.,s014
COHO:0000581,European Medical Information Framework for Alzheimer's Disease Multimodal Biomarker Discovery study,COHO:0001468,University of Manchester Longitudinal Study of Cognition in Normal Healthy Old Age,,rejected,,,"The paper (PMC6091034) describes the EMIF-AD PreclinAD study. PreclinAD is a prospective EMIF-AD sub-study that recruited 81 cognitively normal participants from ACPRC in Manchester and monozygotic twins from the Netherlands Twin Register. It is not the retrospective EMIF-AD Multimodal Biomarker Discovery dataset that COHO:0000581 defines. The text does not say that ACPRC is one of the MBD's 11 cohorts, so there is no support for either direction or for memberOf. COHO has no PreclinAD term. If one were minted, it would be isSubCohortOf both ACPRC and NTR, citing 'Within this study, cognitively normal elderly individuals are recruited from the Manchester and Newcastle Age and Cognitive Performance Research Cohort (ACPRC) in Manchester [26] and the Netherlands Twin Register (NTR) in Amsterdam [27].' from the same doc.",s014
COHO:0000136,Oxford Biobank,COHO:0000312,NIHR BioResource,isSubCohortOf,confirmed,The Oxford Biobank is supported by the Oxford Biomedical Research Centre and part of the National NIHR Bioresource.,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4307976/fullTextXML,"The statement is in the acknowledgements, but it is explicit: the Oxford Biobank is part of the NIHR BioResource, so its volunteers are BioResource participants. NIHR BioResource (COHO:0000312) is typed cohort. The BioResource gathers several recallable panels, so the curator may prefer to retype it as an aggregation and assert memberOf. This text does not by itself show that.",s014
COHO:0000457,Penn Medicine BioBank,COHO:0000423,All of Us Research Program,,rejected,,,"PMBB and All of Us are two of three separate biobanks used for replication (PMC10897632). The sentence says PMBB and CCPM are part of the GBMI, not of All of Us. PMBB already has a memberOf link to COHO:0000238.",s014
COHO:0000482,Colorado Center for Personalized Medicine Biobank,COHO:0000423,All of Us Research Program,,rejected,,,"CCPM and All of Us are separate replication biobanks (PMC10897632). The sentence says CCPM is part of the GBMI ('PMBB and CCPM are part of the GBMI that joined the consortium after initial analysis'), not of All of Us. A CCPM memberOf GBMI link may be worth checking separately.",s014
COHO:0000121,Multiethnic Cohort Study of Diet and Health,COHO:0000735,San Francisco Bay Area Breast Cancer Study,,rejected,,,MEC and SFBCS are both listed as separate contributing studies of AABC (PMC5445618). Neither is part of the other.,s014
COHO:0000121,Multiethnic Cohort Study of Diet and Health,COHO:0000667,Northern California Breast Cancer Family Registry,,rejected,,,MEC and the Northern California site of the Breast Cancer Family Registry are both listed as separate contributing studies of AABC (PMC5445618). Neither is part of the other.,s014
COHO:0000377,BioBank Japan,COHO:0001275,Asian Genetic Epidemiology Network,,rejected,,,"No source puts BioBank Japan inside AGEN. In PMC3636649 BioBank Japan and RIKEN are listed as a replication set separate from the 18,817 AGEN individuals. In PMC4274808 the discovery stage 1 is the 13 AGEN GWA studies, and BBJ is in the de novo replication stage 2, described as 'independent East Asian populations'. The overall row of the table is labelled AGEN-FPG, but that names the analysis, not BBJ's membership.",s015
COHO:0000427,Cleveland Family Study,COHO:0000011,Atherosclerosis Risk in Communities Study,,rejected,,,"The sentence lists the Cleveland Family Study alongside subsets of ARIC, CHS and FHS that took part in the Sleep Heart Health Study. CFS is a separate family study and is not drawn from ARIC.",s015
COHO:0000176,UK Biobank,COHO:0001025,Genomic Health Initiative,,rejected,,,UK Biobank and the NorthShore Genomic Health Initiative are two independent sources of study subjects in PMC12149594. Neither is part of the other.,s015
COHO:0000065,European Prospective Investigation into Cancer,COHO:0000421,Study of Colorectal Cancer in Scotland,,rejected,,,EPIC and a set of SOCCS controls are two independent replication data sets in PMC5772647. EPIC is not part of SOCCS.,s015
COHO:0000390,Swedish Infrastructure for Medical Population-Based Life-Course and Environmental Research,COHO:0000391,Swedish CArdioPulmonary bioImage Study,,rejected,,,"The supplementary sentence says that MOS participants who were also in SCAPIS were excluded from the MOS data. It says nothing about SIMPLER being part of SCAPIS, and SIMPLER is built on the Cohort of Swedish Men and the Swedish Mammography Cohort.",s015
COHO:0000487,Leipzig Research Center for Civilization Diseases-Heart Study,COHO:0001366,Leipzig Childhood Obesity cohort,,rejected,,,"Name clash. The 'Leipzig' in the sentences is LIFE, the Leipzig Research Center for Civilization Diseases at Universität Leipzig (an institution or research programme), not the Leipzig Childhood Obesity cohort. LIFE-Heart is an adult cardiology cohort.",s015
COHO:0001060,BiDirect Study,COHO:0000858,Austrian Stroke Prevention Family Study,,rejected,,,The sentence is only a consent statement covering both cohorts. BiDirect (Münster) and ASPS-Fam (Graz) are unrelated studies.,s015
COHO:0000296,Malmö Diet and Cancer Study,COHO:0002549,Västerbotten Intervention Project,,rejected,,,The Malmö Diet and Cancer cohort and the Västerbotten Intervention Project nested case-control set are two separate cohorts analysed side by side in the prostate cancer PRS paper. Neither is part of the other.,s015
COHO:0000121,Multiethnic Cohort Study of Diet and Health,COHO:0002563,Wake Forest University Breast Cancer Study,,rejected,,,"The Multiethnic Cohort and the Wake Forest Breast Cancer Study are both listed as contributing studies of the AABC consortium. They are siblings, and neither is part of the other.",s015
COHO:0001179,Genetic Modifier Study,COHO:0001301,Canadian Cystic Fibrosis Gene Modifier Study,,rejected,,,"The US Genetic Modifier Study and the Canadian Gene Modifier Study are separate cystic fibrosis modifier studies that were analysed together (GMS, CGS and TSS as separate subsets). Neither is part of the other.",s015
COHO:0000024,Cancer Prevention Study,COHO:0000486,Korean Cancer Prevention Study-II Biobank,,rejected,,,"Name clash. The sentences are about the Korean Cancer Prevention Study-II Biobank alone. 'Cancer Prevention Study' matched as a substring of its name, and the American Cancer Society's Cancer Prevention Study is not mentioned.",s015
COHO:0000176,UK Biobank,COHO:0000345,Uganda General Population Cohort,,rejected,,,UK Biobank and the Uganda General Population Cohort (GPC-UGR) are listed side by side as independent validation populations for a polygenic score; neither is part of the other.,s016
COHO:0000417,BioVU,COHO:0000442,Michigan Genomics Initiative,,rejected,,,"The paper studies two separate hospital cohorts, a Vanderbilt cohort and a Michigan cohort linked to the Michigan Genomics Initiative; BioVU is not drawn from MGI.",s016
COHO:0001527,Brains for Dementia Research,COHO:0001468,University of Manchester Longitudinal Study of Cognition in Normal Healthy Old Age,,rejected,,,Brains for Dementia Research and the University of Manchester longitudinal study are two distinct cohorts compared in a demographics table; no part-of relation is stated.,s016
COHO:0000475,Danish Blood Donor Study,COHO:0000176,UK Biobank,,rejected,,,"DBDS (with CHB-CID) and UK Biobank primary-care data are separate datasets meta-analysed together for TSH and fT4 GWAS; 'the subset' refers to a UK Biobank subset, not DBDS.",s016
COHO:0000185,CONVERGE,COHO:0000383,Mass General Brigham Biobank,,rejected,,,Name clash: the sweep matched the Mass General Brigham Biobank synonym 'Partners' in 'support of all partners in hospitals across China' in the CONVERGE acknowledgements; the Partners/MGB biobank is not meant.,s016
COHO:0000581,European Medical Information Framework for Alzheimer's Disease Multimodal Biomarker Discovery study,COHO:0000551,European Alzheimer & Dementia Biobank,,rejected,,,"The sentence says the 366 EMIF-AD MBD individuals with CSF proteomics are a 'subset of Amsterdam Dementia Cohort within EADB': it is the Amsterdam Dementia Cohort that is within EADB, not the EMIF-AD MBD study (itself drawn from 11 European cohorts). Nothing states that EMIF-AD MBD is a member of EADB.",s016
COHO:0000731,Collaborative Oncological Gene-environment Study,COHO:0000901,Consortium of Investigators of Modifiers of BRCA1 and BRCA2,,rejected,,,"The sentences are author contributions ('QC and Genotyping coordinating group of iCOGS (BCAC and CIMBA)') and a sample table where iCOGS is a genotyping array; iCOGS/COGS is not a member of CIMBA. The reverse (CIMBA as one of the four consortia collected by COGS, as the COHO COGS definition says) is plausible, but no cached sentence in these documents states it; a source such as the COGS project description would be needed to assert CIMBA memberOf COGS.",s016
COHO:0000527,Health Professionals Follow-up Study,COHO:0000371,Million Veteran Program,,rejected,,,HPFS (with UKB and NHS) formed the discovery meta-analysis and MVP was an independent replication sample; the acknowledgement merely lists them together.,s016
COHO:0000558,Genetic Investigation of ANthropometric Traits consortium,COHO:0000176,UK Biobank,,rejected,,,GIANT consortium GWAS were meta-analysed with new UK Biobank GWAS; GIANT is not a sub-cohort of UK Biobank (and UK Biobank is not stated to be a GIANT member in these sentences).,s016
COHO:0000422,China Kadoorie Biobank,COHO:0000002,1000 Genomes,,rejected,,,1000 Genomes Phase 3 EAS is used only as an allele-frequency and recombination reference for China Kadoorie Biobank data; no part-of relation.,s016
COHO:0001581,Connecticut Endometrial Cancer Study,COHO:0000121,Multiethnic Cohort Study of Diet and Health,,rejected,,,CECS is listed as one of five population-based case-control studies and MEC as one of four prospective cohorts with nested case-control studies in the same endometrial cancer pooled analysis; CECS is not drawn from MEC.,s016
COHO:0001581,Connecticut Endometrial Cancer Study,COHO:0000456,Nurses' Health Study,,rejected,,,"The sentence lists CECS among five population-based case-control studies and NHS among four case-control studies nested within prospective cohorts in the same pooled analysis (E2C2). CECS is a separate Connecticut case-control study, not drawn from the Nurses' Health Study.",s017
COHO:0000148,Rotterdam Study,COHO:0000175,UK Adult Twin Register,,rejected,,,Rotterdam Study and TwinsUK are only listed side by side as separate replication/analysis cohorts; neither is part of the other.,s017
COHO:0000656,Manchester Asthma and Allergy Study,COHO:0000016,Avon Longitudinal Study of Parents and Children,,rejected,,,"MAAS and ALSPAC are two separate UK birth cohorts compared in the same paper; 'part of the meta-analysis by Ferreira et al' refers to ALSPAC, not a MAAS-ALSPAC link.",s017
